authors,content,doc_id,note
Ruediger Vogt,"BNPL, MarPay, Contactless - all about the Key Payment Trends for 2022 in this great PaymentsJournal article by Dominic Hofer. Contact us at Giesecke+Devrient to find out how you can take the payment experience to the next level for your customers. With eco-innovation, digital and phygital solutions, wearables and much more! https://lnkd.in/daQeH-EZ Dr. Carsten Wengel Jukka Yliuntinen Marika Pirhonen Kristin Gringel  Andrea Paric Jordi Mier Ricardo Alonso Lamadrid David González Karen Coe Kate Mythen Joe Burgess Axel Lange Oliver Georg Ekkehard Lierow Jean-Christophe Lambrois Philippe Delanoue Olivier Sery Mark Van Horn Bill Caldwell Volker Dinges Naresh Rao Pradeep Nambiar Lucy Kratz Jessica Wood Carlo Lacota Milly Zivanovic Simone Schannewitzky Barnabás Ferenczi Jen Abdin Eric Megret-Dorne Sascha Behlendorf Leonie Knittel Alex Gatiragas Jordi Quesada Clint de Abreu Mikko Kähkönen Emmanuel P. #neobanks #gd_fintech #paymentsinnovation #payments #customerexperience #phygital #fintechstartup #fintechs #fintech  #lifestyle #success #easydoesit #expertsolutions #digital #powertothepeople #happycustomers #brand #mobilepayment #bankingindustry #onlineshopping #innovation #consumerbehavior #experience #bnpl #marpay #contactless #contactlesspayments #ecoinnovation #co2reduction #retailing #ecommerce #tokenization '",16,4.0
TC Consult Ltd,TC Consult helping Coventry lead the way in recycling innovation. Read the latest. https://lnkd.in/eY5ny63h  #EcoInnovation #Coventry #Recycling #Construction #ClimateAction ',17,3.0
Steve Brent,Cheers to this amazing ecoinnovation!!!         ',18,3.0
Dr. Muhammad Atif Nawaz Baloch,"Alhamdulilah. All praise to the Allah Almighty. I am glad to share that our paper titled ""A step toward reducing air pollution in top Asian economies: The role of green energy, eco-innovation, and environmental taxes"" is published online. the details are as follows:  Journal: Journal of Environmental Management  Publisher: Elsevier  ABDC: A ranked  WOS Impact Factor: 6.79  WOS & Scopus: Q1  First 50 downloads are free. Happy Reading.    #sustainability #climatechange #environment #environmental #innovation #greenenergy #ecoinnovation #environmentalscience #environmentaltaxes #sustainabledevelopment #airpollution '",19,1.0
Reza Kiani Mavi,"It was a great pleasure to deliver a keynote speech (online) at the International Conference on Operations Research and applications (ORA 2021), Guilin, China. My talk was about eco-innovation analysis using DEA. #ecusbl #ecoinnovation '",22,1.0
Bushra Hattab,"Very happy to complete these two valuable trainings!  - Circular Economy and the 2030 Agenda - Eco-Innovation   Thank you UN Environment Programme,  United Nations System Staff College (UNSSC), SwitchMed And Luc Reuter!   #circulareconomy #sustainableconsumption #sustainableproduction #ecoinnovation '",23,3.0
Dilmah Tea,"The mentoring sessions are an important and unique part of Ecovation Awards as we place importance on guiding and nurturing eco-innovators as we do about recognising them for their eco-innovation excellence.  Done in collaboration with Hatchworks, the series hosted several experts who directed eco-innovators to consider important aspects about their innovations such as creating a business plan, identifying market demand and design and prototyping.   #EcovationAwards is a periodic event initiated by Dilmah that empowers local innovators to take their sustainable creations to market while safeguarding their IP rights. This year the focus has been on waste management, resource efficiency and sustainable packaging.  #Dilmah #DilmahConservation #EcovationAwards2021 #Ecovation #Innovation #EcoInnovators #Create #Empower #Diversity #Sustainable #EcoFriendly #WasteManagement #SustainablePackaging #ResourceEfficiency #Collaboration #Empowerment #Community #Inclusivity '",24,4.0
CemGreen,"CemGreen Awarded 2,600,000  in soft-funding under the Ministry of Environment of Denmark  Ecoinnovation.  Funds will be used to design and build a full-scale demonstration plant in Denmark bringing our novel process and equipment technologies to the market. This has been our ultimate goal since the start of CemGreen back in 2016.  Link to press release from Ministry of Environment of Denmark  Ecoinnovation: https://lnkd.in/gKUt5rP9 November 24, 2021         '",25,4.0
Chemical Industry Digest,"Galaxy Surfactants Limited has bagged the coveted Golden Peacock award under the category of eco-innovation for the year 2021.   Galaxy Surfactants bagged the award for its galguard range for product innovation, which is a specialised range of preservatives for home and personal care products.  #innovation #peacockaward #ecoinnovation #chemicals #chemicalsindustry #chemicalindustry #chemicalindustrydigest #galguard #specialtychemicals #personalcare #homecare #chemistry #preservatives '",26,4.0
Rodrigo Lozano,"I'll be giving a keynote on Circular Economy:   https://lnkd.in/dPT9Ayua #circulareconomy #smes """,27,1.0
Maxime Zufferey,"I am honored to see the research undertaken for my Master's thesis published as an article by the Centre for International Environmental Studies | Graduate Institute Geneva. By analyzing the scope of eco-innovation in the #wastemanagement sector in Switzerland, I was able to illustrate that, although the Swiss waste management system is often praised for its merits, there is still an abysmal gap to be bridged for Switzerland to achieve its #environmental goals. To bridge this gap, a #paradigmshift in consumption and production patterns towards a more #circular and integrated system is called for, and this requires above all institutional and social #ecoinnovations.   I would like to warmly thank Professor Joëlle Noailly for guiding and mentoring me throughout these months of research and for giving me the opportunity to publish it. As this article also marks the end of my academic cursus and the completion of my Master's degree, I would like to express my gratitude for these last two years spent at Graduate Institute of International and Development Studies. It has been a rich and constant learning experience for me, both from my professors and my classmates, whose diverse perspectives have strengthened my critical thinking and convictions.   Please do not hesitate to contact me for more information or to access the full thesis report.         """,28,2.0
Shraddha Yadav,"This article critically reviews the exemplary eco-innovations (technological and non-technological) including resource recovery and viable technologies for solid waste management in India. It also illustrates the lacunae in the waste management system and recommendations based on findings and future research areas. The paper can also assist researchers, entrepreneurs, and policymakers in improving the status of SWM in India as well as other developing countries with the same societal and economic status.   First review article as the main author and second published article in the research area of solid waste management. Thanks to Dr. Sunil Kumar and National Environmental Engineering Research Institute (NEERI) for giving me this opportunity. Many congratulations and thanks to Shubham Patel for being a supportive co-author.  #ecoinnovations #research #solidwastemanagement #india #smarttechnologies #circulareconomy '",29,2.0
CtrlS Datacenters Ltd,Sustainability is the new non-negotiable and CtrlS is embracing the path to a greener future...  The awards & accolades we have received over the years are majorly for energy efficiency and eco-innovation. Visit our facility today and the sustainability page to know more about our green energy ideology! https://lnkd.in/ePhxkcC #ecoinnovation #sustainableinfrastructure #solarpowerenergy #sustainability #ctrls #datacentre #colocation #greendatacentres #renewableenergy ',30,2.0
Sabrine Chauvaux,"I am happy to have given my very first conference this weekend at the HOPE Fair on Eco-innovation, the topic of my master thesis  In a few words, Eco-innovation is a promising concept that could generate long-term economic, ecological and societal prosperity   I hope this is just the first of many to come...!!  #firsttime #conference #betterworld #ecoinnovation '",31,1.0
APESA," [ Ateliers Eco-Innovation  FERTILWASTES - 4 février et 17 mars ]   . A vos agendas !    Dans le cadre du projet de recherche Interreg POCTEFA - Communauté de Travail des Pyrénées #FERTILWASTES,   l'APESA - Christine Ferrer, Audrey Lallement, Benjamin Tyl  - organise deux ateliers d'Eco-Innovation les 4 février et 17 mars,  sur la Technopôle Agrolandes à Haut-Mauco (40)    Le pitch : Imaginer, collectivement (fournisseurs de matières premières,  producteurs, utilisateurs), des solutions à forte valeur ajoutée pour valoriser les co-produits agricoles et industriels. Ce sera l'occasion de questionner les solutions existantes  quant à leur contexte dutilisation, leurs modèles  économiques et sociaux, les obstacles potentiels divers.  Ces ateliers, animés par Benjamin Tyl, utiliseront des outils et méthodes déco-innovation simples et intuitives qui pourront être facilement réutilisées dans le cadre de vos projets.   Pour participer à l'atelier du 4 février : https://lnkd.in/gZZ3QGfZ  Contact : Christine Ferrer    Partenaires : CATAR agro ressources, BETA  - Universitat de Vic  Universitat Central de Catalunya (UVic-UCC), LATEP, NEIKER BRTA,  Universitat Politècnica de Catalunya  #ecoInnovation #agriculture #agroalimentaire #Aquaponie #rechercheetdeveloppement #innovation #economieCirculaire #durabilité  #recherche #agro #landes #nouvelleaquitaine #microalgues #pyrolyse #digestat, #compost #engrais #fertilisant """,32,3.0
Kushal Chanchad,"Proud to be an #EcoInnovator. I submitted an idea to Accenture's global Eco-Innovation Challenge innovating for a better planet  #innovation #sustainability Colleen Sheehy """,33,4.0
"Jasmina Burek, PhD (she/her/hers)","[NEW #researchpaper]   Exploring how #businesses can adopt #ecoinnovation, which may involve their #marketexpansion, and meet their #climatechange targets, was the goal of  Assessing handprint potentials for business's eco-innovation #researchpaper co-authored with Elizabeth Moore, Christian Bauer Randolph Kirchain, Jeremy Gregory & led by Gregory Norris & published in Sustainable Production and Consumption Journal.   Potential #handprint pathways were defined from the perspectives of two actors who can bring about the change: #business & #consumers.   We provided a systemic approach for #businesses to adopt #ecoinnovations, pursue market expansion & reduce overall sector's #climatechange impacts, and relevance for #consumers in adopting #ecoinnovation.   This research demonstrated measurement of #businesses and #consumers #positiveimpacts by shifting (#marketchange & #behavioralchange ) to #ecoinnovation and #communication of this information using the Sustainability and Health Initiative for NetPositive Enterprise (SHINE) #handprint and #netpositive assessment methods.  This research expands the way of thinking about climate change as a mitigation problem only as well as seeking solutions either in businesses or consumers behavioral change. It requires seeking solutions both in businesses and consumers. Thus, the most important contributions of this research are in extending the scope of the assessment, scaling up to global markets, and examining handprint relevance for an organization and consumers.   SIG Combibloc provided a case study and data for their #ecoinnovation in milk #packaging. This research will help their #handprint implementation efforts to drive #positivechange for the #packagingsector, #customers & #consumers. The results may inspire others to shift their businesses from focusing only on environmental management to becoming drivers of #sustainabledevelopment.  We thank the editor, Prof. Shabbir Gheewala, and reviewers for their recommendations and a balanced turnaround in processing our paper.         """,34,3.0
Radko Kovachev,#Bulgaria is last in the EU28 in terms of eco-innovation performance   #ecoinnovation ',35,2.0
Martin Storkholm Nielsen,Interested in eco-innovation?  See below! #ecoinnovation #ECOLABNET ',36,1.0
Aditya Birla Chemicals,"Achieving the Platinum Award for Eco-Innovation in the environment by Green India Awards in 2019, our 1st Zero Liquid Discharge Plant located in Renukoot has gained a lot of appreciation and recognition for its environment-friendly contribution to make the earth a better place to live in.   #AdityaBirlaChemicals #TheInnovationLadder #GlobalLeader #Innovation #Safety #Sustainability #People #Community #Insulators #FashionYarns #ZeroLiquidDischarge #GreenIndiaAwards #EnvironmentFriendly #EcoInnovation '",37,4.0
Aman Bhasin,"Great Initiative! ""Eco-Innovation is the winning formula to save our oceans"" #ecoinnovation #transformativeleadership #positiveimpact '",38,3.0
Escola Europea - Intermodal Transport,http://ow.ly/2AZS50HcQ5G #GoMED #RailMotorways #innovation #DualLearning #EcoInnovation #YEPMED #Sustainability ',39,4.0
Ulas Akkucuk,New edited book project accepting proposals. Contact me for deadlines.  #sustainability #renewableenergy #solarenergy #climatechange #disruptiveinnovation #ecoinnovation #ecofriendly ',40,2.0
Nareswari Sumarsono - Ires,Cool! Another real implementation of eco-innovation  # #innovation #ecoinnovation #3dprinting #sustainabilitytech ',41,4.0
"Nick Seidel, MA, MBV",Proud to be an #EcoInnovator! I submitted an idea to Accentures global Eco-Innovation Challengeinnovating for a better planet!  #innovation #climatechange #circulareconomy #sustainable #environment #sustainabledevelopment #sustainability ',42,4.0
Cristian Laghezza,"Now I'm officially an #EcoInnovator! I submitted an idea to @Accenture's global Eco-Innovation Challenge.         """,43,4.0
Vishwak Chander U.,"Proud to be an #EcoInnovator, in Accenture Global Eco-Innovation Challenge. Innovating for a better planet !! Colleen Sheehy '",44,4.0
Mohammad Zeeshan Alam,Proud to be an #EcoInnovator. I submitted an idea to @Accentures global Eco-Innovation Challengeinnovating for a better planet.         ',45,4.0
Retail4Growth, GREENFLEX- LPFLEXs new eco-innovation   LPFLEX Amit Kapani K. Madhavan #retail4growth #retailnews #dailynews #ecoinnovation #greenflex #signagesystem ',46,3.0
Alpha Tenamit,"The concept of #ecoinnovation and its variants are not new. However, now more than ever, eco-innovation has gained relevance as a tool to enhance the performance and competitiveness of organizations.  We use eco-innovation principles to help organizations thrive in this new reality.  *Swipe the slides for more.  Visit us: www.alphatenamit.com #alphatenamit #bealpha #innovation #sustainability #competitiveness #ecoinnovation '",48,4.0
TrakRap Ltd,Really looking forward to talking with the #siemems team about how digitalisation can accelerate eco-innovation and explaining how productivity can be improved without big capex for SMEs. #sustainability #ecoinnovation #industry4 ',49,4.0
Adrian Paolo Alajar,Proud to be an #EcoInnovator.  Contributed an idea to Accentures global Eco-Innovation Challengeinnovating for a better planet! Colleen Sheehy ',50,4.0
Francesco Villa,"I submitted an idea to Accenture's global Eco-Innovation Challenge innovating for a better planet.  Proud to be an #EcoInnovator and being part of a company that actively takes action to tackle one of the bigger, or even the biggest, challenges of our time.  #innovation #climatechange #sustainability Colleen Sheehy """,51,4.0
Exclusive - International Business Network,"Here is a list of sustainable packaging providers. There are stock and bespoke options from leading packaging suppliers, eco-innovations from start-ups, and reusable products for subscriptions. #sustainablepackaging #foodpackaging #packagingsuppliers #ecoinnovations #reusableproducts '",53,4.0
Innovation Lounges,"Our 2022 kick-off Eco-Innovation event will introduce you to Innovation Lounges' online platform, with special guest TIMØ Ronan, Chief Creative Officer, Innovation Lounges.  Please join us as we peek into Innovation Lounges' Collaborative Design Platform. Clients will create, review, iterate & validate product designs online in real-time 3D and augmented reality, anchored by Emersya 3D cloud tech innovation.  In a traditional workflow, a company goes through thousands of physical product samples in a year. Time, expense, materials, human resources, fuel, and market share get lost in the production and delivery of every single sample. The Innovation Lounges Collaborative Design Platform allows non-technical teams to create, review, iterate and approve colorways online. With Virtual Prototyping, design development time, waste, and expenses decrease exponentially. Customized products are designed with high fidelity 3D visualization while feeding brand member PLMs automatically.   As part of Innovation Lounges' eco-innovation mission, a Collaborative Virtual Design Platform will significantly help its brand members and clients reduce their carbon footprint (and time to market).  11 AM EST - Collaborative Virtual Design Eco-Innovation Talk on Zoom  5-7 PM EST - Collaborative Virtual Design Eco-Innovation Happy Hour at Innovation Lounges Miami #innovation #design #development #circulardesign #rapidprototyping #metaverse #collaborativeworking #collaborativelearning #ecoinnovation #innovationlounges #hospitality #travel #thefutureisgreen #thefutureiselectric #thefutureisnow """,54,4.0
ALPORA AG,"Innovation Trends 2021: EcoInnovation & Green Technologies   In total, we identified 33 Emerging Technologies with our Big Data Analytics. Eco-innovation refers to a field that deals with technologies, processes or production innovations that have a positive impact on the environment.   #Innovation #Trends #EmergingTechnology #GreenInnovation #EcoInnovation   Learn more: https://lnkd.in/dfuV-WW '",55,2.0
Innovation Lounges,"Please join us at the Innovation Lounge Miami for ECO-INNOVATION THURSDAY. This Thursday, December 9, 2021, 3-6PM. Our featured Meet+Greet Special Guest is Anastasia Mikhalochkina, CEO of Lean Orb and Innovation Lounge Member. RSVP: miami@innovationlounges.com #thefutureofhospitalityissustainable #hospitalityindustry #sustainablehospitality #sustainabledesign #circulardesign #circulareconomy #composting #compostablepackaging #ecoinnovation #ecodesign #innovation #innovationloungesmarketplace '",56,4.0
Jessica Wood,Stay tuned for this upcoming BrightTALK session where Ruediger Vogt and I discuss Eco-Innovations and how Australian banks are leading the way with sustainable products and practices.  #ecoinnovation #fintech #sustainability #climate #paymenttechnology ',58,4.0
Ruediger Vogt,A great initiative by our fintech customer WLTH together with our joint partner Parley for the Oceans! Contact us to find out more about how Giesecke+Devrient is supporting fintechs in their sustainability strategy with eco-innovation: Lucy Kratz Jessica Wood Carlo Lacota Marika Pirhonen Andrea Paric Jordi Mier Ricardo Alonso Lamadrid David González Pablo Juan Karen Coe Kate Mythen Axel Lange Oliver Georg Ekkehard Lierow Jean-Christophe Lambrois Philippe Delanoue Bill Caldwell Volker Dinges Naresh Rao Pradeep Nambiar Dr. Carsten Wengel  PING Emmanuel P. Jennie Johansson Carnhamre Ashwini P. Mikko Kähkönen Milly Zivanovic Barnabás Ferenczi #neobanks #gd_fintech #paymentsinnovation #payments #paymentcards #ecoinnovation #customerexperience #fintechstartup #fintechs #savetheoceans #sustainabilty #strategy #innovation ',59,4.0
Chiara Frangi,"Ieri sera Barbara Meggetto ha raccontato  il progetto di Legambiente Lombardia Aps/Onlus nel parco Sempione, Cascina Nascosta, come esempio di eco-innovazione in aperture della Ecoinnovation Week di Timberland Qui sotto per ascoltare         '",60,4.0
Pays Basque Industries - Euskal Industriak,"Félicitations aux lauréats de l'AAP Eco-innovation 2021 et bienvenue au sein de l'Association Pays Basque Indusries - Euskal Industriak!  On retiendra notamment les mots de Timothée Achéritogaray, représentant de Pays Basque Industries Euskal Industriak qui a dit ""Lindustrie, cest beaucoup de choses très vertueuses, parfois avec une image écornée, mais nous sommes là avec le souhait de faire connaitre plus justement ce quest lindustrie. Lindustrie en 2021 est une réflexion qui se passe en amont des projets pour sinscrire dans des démarches vertueuses qui pourront perdurer.""   Bravo à tous; AIMA, Arrosia,  notoxsurf, SCALE, et tikoam. Merci à la Communauté Pays Basque organisateur et financeur de l'AAP Eco-innovation et la Technopole Pays Basque d'être locomotive de l'innovation territoriale.   #industrie #innovation #paysbasque #pbi #euskalindstriak #territoireindustrie #ecoinnovation #industriedurable '",61,4.0
Sude AKDENÄ°Z,"Strategic partnership for AGRI-entrepreneurship and EcoInnovation - AgriEco project, financed under the ERASMUS+ PROGRAMME, Key Action 2: Cooperation for innovation and the exchange of good practices, Strategic partnerships in the field of education, training and youth, Agreement n°2019-1-BG01-KA203-062284, KA 203/HE-26/17-09-2019 creates synergies from complementary knowledge, skills and resources, and generates a unique value in providing real solutions and tangible responses to support HE students in the field of agricultural entrepreneurship. The project is not an alternative to the formal education but rather a stepping stone to smoothing the transition from university to work, including: improved portfolio offering a tailor-made advanced training; acquisition of new competencies and experience; new training models and development of news disciplines; and change (in different degrees but still) of the attitude towards the connection education2business.  Our specific objectives are: SO1: Better integration of the education within the European research community SO2: Upgrading learning and training capacity and capability SO3: Improved educational capacity for regional economic and social development AgriEco partners are: Trakia University (BG)  Coordinator Agricultural University (BG) University of Macedonia (GR) Pavlodar State Pedagogical University (KZ) Canakkale Onsekiz Mart Universitesi (TR) Center for research and analysis (BG) ZIP center (RS) #AgriEco #experience #innovation #education '",62,4.0
Urban Redevelopment Authority of Pittsburgh,"Request for Information (RFI): The URA is requesting information and project concepts from developers or development teams to purchase and renovate the existing buildings located at 1319-1325 Fifth Ave in Uptown/Bluff, in accordance with the EcoInnovation District Plan. Submissions are due April 8, 2021 at 4 p.m. ET.         '",64,4.0
National Cleaner Production Centre Sri Lanka,UNEP  NCPC project on implementing Eco-Innovation in 12 companies was started with a one-day training workshop today. NCPC will provide consultation for each company in the next 10 months to innovate sustainable business models and implement those minimizing the environmental and business risks of the companies.  #UNEP #ecoinnovation ',65,4.0
Jesper Daugaard,https://lnkd.in/dRjYqgm  Water innovation is strongly supported by eco-innovation. We would however like to see an even larger share of water innovation - provided that the application keep the high quality that we experienced in 2020.  #waterinnovation #divand #ecoinnovation #kamstrup #sdg6 ',66,4.0
Taylor Vinters,"There's still time to sign up for tomorrow's breakfast event: Uncomfortable truths & eco-innovation. For further details and to book your place, click here: https://bit.ly/32iLvht.  Oxfordshire Greentech // Nicola McConville #innovation #sustainability #climatechange #circulareconomy #ecoinnovation """,67,4.0
Javier Carrillo-Hermosilla,"Glad to share our new paper just released in the Journal of Cleaner Production. This paper strives to clarify the concept of Open Eco-innovation, shows its importance, and maps existing research.  #ecoinnovation #openinnovation #circulareconomy https://lnkd.in/dqUvPCt '",68,1.0
Ruediger Vogt,Really enjoyed the discussion with Mathias Wikström and Douglas Mackenzie about sustainability and eco-innovation in payment and the related initiatives by Giesecke+Devrient and Doconomy. This Virtual Arena by Fintech Finance | Fintech & Financial News will be aired in June - stay tuned!  #gd_fintech #fintechs #sustainabilitystrategy #ecoinnovation ',69,4.0
National Cleaner Production Centre Sri Lanka,"JAT Holdings Ltd signed an MoU with NCPC Sri Lanka, to implement Eco-Innovation in their company.  Mr. Nishal Ferdinando, CEO of JAT Holdings Ltd signed the MoU with Mr. Samantha Kumarasena, CEO of NCPC at the Head Office of JAT Holdings Ltd in Thalawathugoda. Mr. Kaushalya Kotuwage, Head of Human Resources & Sustainability from JAT Holdings Ltd, Ms. Lakmini Edirisinghe, Senior RECP Expert of NCPC and few other staff members from both organizations participated at the occasion.  #ecoinnovation '",70,1.0
Sithumini Anuradha,"Eco-Innovation Training program which was organized under the project on ""Global Best Practices on Emerging Chemical Policy Issues of Concern Under the Strategic Approach to International Chemical Management"" and conducted by the Bioregional in February 2021  #NCPC #ecoinnovation #chemical_policy '",71,4.0
RECYCLEAN,"Environmental pollution is a major issue that is increasingly worsening. The current level of investment in recycling and waste segregation, as well as the use of eco-innovations in the waste management economy, is inadequate. The situation is only getting worse.  It is important to dramatically increase spending on recycling, scale-up waste segregation systems, and employ eco-innovation in waste management, including the implementation of strategies for the restoration of contaminated waste heaps and the elimination of plastic waste from the land and water system, including seas and oceans. What's your opinion on this? . . . . #segregation #wastesegregation #ecoinnovation #recycling #recycle #wastemanagement #recycling """,73,4.0
Jessica Wood,"By jointly offering to track consumers' carbon footprint, G+D and Doconomy will address banks and fintechs that have ambitious environmental goals and a strong focus on eco-innovation. Banking customers will now have the ability to take control of their personal environmental impact and make educated choices for the betterment of our planet.   #sustainability #climatechange #ecoinnovation """,74,4.0
Distrelec Group,What is eco-innovation and what role does it play in creating a more sustainable future?  Continue reading here  http://ow.ly/1Hsy50F18K7  Eco-innovation is integral to the creation of a more sustainable society. Its more than simply designing green products and green packaging. Eco-innovation goes further than this as it entails improvements in business operations and processes to improve efficiency and to reduce costs and waste significantly.  #KnowHow #EcoInnovation #Sustainable #Technology #Maintenance #Technician #Engineer #Engineering #Eco #Innovation #Sustainability #Future #Energy ',75,4.0
Ruediger Vogt,New fintechs that put sustainability at the center of their business models are now emerging. Learn more about this trend in a great Finextra article by Elina Mattila from Mobey Forum. https://lnkd.in/dmFfnmj4 Giesecke+Devrient is at your side with eco-innovation and sustainable payment solutions: https://lnkd.in/dCXq3-PB https://lnkd.in/gypE3ZZ Mathias Wikström Per-Anders Hall Bedman Tee Pruitt Cyrill Gutsch Tony Verutti Dr. Carsten Wengel Emmanuel P. Ashwini P. Mikko Kähkönen Jennie Johansson Carnhamre Marika Pirhonen Kristin Gringel Andrea Paric Jordi Mier Alonso Lamadrid David González Pablo Juan Karen Coe Kate Mythen Axel Lange Oliver Georg Ekkehard Lierow Jean-Christophe Lambrois Philippe Delanoue Olivier Sery Bill Caldwell Volker Dinges Naresh Rao Pradeep Nambiar Lucy Kratz Jessica Wood Carlo Lacota Milly Zivanovic Simone Schannewitzky Barnabás Ferenczi Jukka Yliuntinen #innovation #sustainability #businessmodels #gd_fintech #ecoinnovation #greenfintech #greenfinance #saveearth #payments #co2reduction #savetheoceans ',76,4.0
Helena Deane,Interesting exchange on best practices as part of the CAST COSME project - CAST partners are learning and discussing approaches to eco-innovation and importance of support systems from the Interreg Europe SUPER project: Supporting eco-innovations towards international markets with Länsstyrelsen Östergötland #climatechange #circulareconomy #learning #ecoinnovation #sustainability #knowledgesharing #bestpractices ',77,4.0
Javier Carrillo-Hermosilla,"Happy to see our more recent paper on #circulareconomy published in the last issue of the journal Business Strategy and the Environment:   https://lnkd.in/dXh_jwu  Our results have particular implications for (infrastructural) systemic lock-in. For practitioners willing to develop the highest levels in the circular economy (CE) hierarchy, our results imply that a detailed analysis of the long-term implications for the company of adopting a given eco-innovation (EI) should be carried out. Identifying which EIs contribute or constrain the achievement of the CE in companies is an important step towards empowering practitioners, policymakers and researchers to identify effective EI pathways towards the CE.   #circulareconomy #ecoinnovation #sustainability '",78,1.0
